time,symbol,quantity,price
2025-12-09 15:20:16.938628+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.937796+00,BTCUSDT,0.00012,90900
2025-12-09 15:20:16.936708+00,BTCUSDT,0.002,90900
2025-12-09 15:20:16.935169+00,BTCUSDT,0.00012,90900
2025-12-09 15:20:16.932389+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.930883+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.929581+00,BTCUSDT,0.002,90900
2025-12-09 15:20:16.848312+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.846243+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.844751+00,BTCUSDT,0.00012,90900
2025-12-09 15:20:16.844281+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.84383+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.84342+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.842984+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.842598+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.842211+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.841699+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.841275+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.840888+00,BTCUSDT,6e-05,90900
2025-12-09 15:20:16.840432+00,BTCUSDT,8e-05,90900
2025-12-09 15:20:16.839679+00,BTCUSDT,0.07399,90900
2025-12-09 15:20:16.8289+00,BTCUSDT,0.0001,90900.01
2025-12-09 15:20:16.827863+00,BTCUSDT,0.00046,90900
2025-12-09 15:20:16.771128+00,BTCUSDT,0.00023,90900.01
2025-12-09 15:20:16.769824+00,BTCUSDT,0.00155,90900
2025-12-09 15:20:16.762678+00,BTCUSDT,0.00018,90900.01
2025-12-09 15:20:16.761623+00,ETHUSDT,0.8213,3139.58
2025-12-09 15:20:16.75986+00,ETHUSDT,2.2954,3139.58
2025-12-09 15:20:16.753231+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.747914+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.745149+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.742857+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.741859+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.739078+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.737834+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.737094+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.731117+00,ETHUSDT,0.0027,3139.58
2025-12-09 15:20:16.715991+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.710707+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.703273+00,ETHUSDT,0.0017,3139.58
2025-12-09 15:20:16.6941+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.658266+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.600948+00,ETHUSDT,0.0024,3139.58
2025-12-09 15:20:16.597263+00,ETHUSDT,0.0024,3139.58
